TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
ทดสอบ,,nan,nan,nan,ทดสอบ
ทดสอบ5,,nan,nan,nan,ทดสอบ5
ทดสอบ2,,nan,nan,nan,ทดสอบ2
ทดสอบ4,,nan,nan,nan,ทดสอบ4
ทดสอบ3,,nan,nan,nan,ทดสอบ3
ราชการพลเรือนดีเด่นประจำปี 2556,,nan,nan,nan,ราชการพลเรือนดีเด่นประจำปี 2556
การคัดเลือกบุคคลให้เข้ารับการประเมินผลงานเพื่อแต่งตั้งให้ดำรงตำแหน่งประเภทวิชาการระดับชำนาญการพิเศษ,,download/pdf/News/prakaaskhadeluuek_chph.pdf,nan,nan,การคัดเลือกบุคคลให้เข้ารับการประเมินผลงานเพื่อแต่งตั้งให้ดำรงตำแหน่งประเภทวิชาการระดับชำนาญการพิเศษ
การคัดเลือกบุคคล หน่วยงาน และโครงการดีเด่นของชาติ ประจำพุทธศักราช 2557,,download/pdf/News/kaareluuekbukhkhl_hnwyngaan.pdf,nan,nan,การคัดเลือกบุคคล หน่วยงาน และโครงการดีเด่นของชาติ ประจำพุทธศักราช 2557
ประเภทและอัตราค่าอวัยวะเทียมและอุปกรณ์ในการบำบัดรักษาโรค,,download/pdf/News/6_1.pdf,nan,nan,ประเภทและอัตราค่าอวัยวะเทียมและอุปกรณ์ในการบำบัดรักษาโรค
อัตราค่าบริการสาธารณสุขเพื่อใช้สำหรับการเบิกจ่ายค่ารักษาพยาบาลข้าราชการ,,download/pdf/News/5_3.pdf,nan,nan,อัตราค่าบริการสาธารณสุขเพื่อใช้สำหรับการเบิกจ่ายค่ารักษาพยาบาลข้าราชการ
หลักเกณฑ์การเบิกจ่ายค่าตอบแทนคณะกรรมการ,,download/pdf/News/1_1.pdf,nan,nan,หลักเกณฑ์การเบิกจ่ายค่าตอบแทนคณะกรรมการ
การใช้ลายเซ็นอิเล็กทรอนิกส์ในใบเสร็จรับเงิน เป็นหลักฐานเบิกเงินสวัสดิการศึกษาบุตร,,download/pdf/News/2_3.pdf,nan,nan,การใช้ลายเซ็นอิเล็กทรอนิกส์ในใบเสร็จรับเงิน เป็นหลักฐานเบิกเงินสวัสดิการศึกษาบุตร
ประเภทและอัตราค่าอวัยวะเทียมและอุปกรณ์ในการบำบัดรักษาโรค,,download/pdf/News/3_8.pdf,nan,nan,ประเภทและอัตราค่าอวัยวะเทียมและอุปกรณ์ในการบำบัดรักษาโรค
ประเภทและอัตราเงินบำรุงการศึกษาและค่าเล่าเรียน,,download/pdf/News/4_5.pdf,nan,nan,ประเภทและอัตราเงินบำรุงการศึกษาและค่าเล่าเรียน
ผู้อำนวยการสำนักบริหารทรัพยากรบุคคลคนใหม่เข้ารับตำแหน่งแล้ว,,nan,nan,nan,ผู้อำนวยการสำนักบริหารทรัพยากรบุคคลคนใหม่เข้ารับตำแหน่งแล้ว
