TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
test,,download/article/article_20140611134949.doc,nan,nan,test
ระเบียบคณะกรรมการสวัสดิการสำนักงานปลัดกระทรวงแรงงาน พ.ศ.2548,,download/article/article_20140611135650.pdf,nan,nan,ระเบียบคณะกรรมการสวัสดิการสำนักงานปลัดกระทรวงแรงงาน พ.ศ.2548
ระเบียบสำนักนายกรัฐมนตรี ว่าด้วยการลาของข้าราชการ พ.ศ.2555,,download/article/article_20140611135836.pdf,nan,nan,ระเบียบสำนักนายกรัฐมนตรี ว่าด้วยการลาของข้าราชการ พ.ศ.2555
ประกาศ,,download/article/article_20150608100718.pdf,nan,nan,ประกาศ
