TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
ศูนย์ป้องกันการทุจริต,,nan,nan,nan,ศูนย์ป้องกันการทุจริต
กลุ่มงานวินัย,,nan,nan,nan,กลุ่มงานวินัย
กลุ่มงานพัฒนาบุคลากร,,nan,nan,nan,กลุ่มงานพัฒนาบุคลากร
กลุ่มงานบริหารค่าตอบแทนและสิทธิประโยชน์,,nan,nan,nan,กลุ่มงานบริหารค่าตอบแทนและสิทธิประโยชน์
กลุ่มงานสรรหาและบรรจุแต่งตั้ง,,nan,nan,nan,กลุ่มงานสรรหาและบรรจุแต่งตั้ง
กลุ่มงานวางแผนอัตตรากำลัง,,nan,nan,nan,กลุ่มงานวางแผนอัตตรากำลัง
งานบริหารทั่วไป,,nan,nan,nan,งานบริหารทั่วไป
งานบริหารทั่วไป 11,,nan,nan,nan,งานบริหารทั่วไป 11
