TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
ประเมินผลการปฏิบัติราชการและการเลื่อนเงินเดือน ,,nan,nan,nan,ประเมินผลการปฏิบัติราชการและการเลื่อนเงินเดือน 
พ้นทดลองปฏิบัติราชการ,,nan,nan,nan,พ้นทดลองปฏิบัติราชการ
ประกาศเกษียณตามปีงบประมาณ,,nan,nan,nan,ประกาศเกษียณตามปีงบประมาณ
การเลื่อนข้าราชการ ,,nan,nan,nan,การเลื่อนข้าราชการ 
การรับโอนข้าราชการ,,nan,nan,nan,การรับโอนข้าราชการ
เครื่องราชอิสริยาภรณ์,,nan,nan,nan,เครื่องราชอิสริยาภรณ์
การปรับปรุงการกำหนดตำแหน่ง,,nan,nan,nan,การปรับปรุงการกำหนดตำแหน่ง
การลาออกจากราชการ,,nan,nan,nan,การลาออกจากราชการ
การย้ายข้าราชการ,,nan,nan,nan,การย้ายข้าราชการ
พรบ.ระเบียบข้าราชการพลเรือน พ.ศ. 2551,,download/article/article_20140521173553.pdf,nan,nan,พรบ.ระเบียบข้าราชการพลเรือน พ.ศ. 2551
