TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
แผนบริหารทรัพยากรบุคคล ,,nan,nan,nan,แผนบริหารทรัพยากรบุคคล 
แผนยุทธศาสตร์การพัฒนาบุคลากรของกระทรวงแรงงาน ฉบับที่ 2 (พ.ศ. 2556 - 2559),,download/article/article_20140512154712.pdf,nan,nan,แผนยุทธศาสตร์การพัฒนาบุคลากรของกระทรวงแรงงาน ฉบับที่ 2 (พ.ศ. 2556 - 2559)
แผนยุทธศาสตร์การพัฒนาบุคลากรของสำนักงานปลัดกระทรวงแรงงาน ฉบับที่ 2 (พ.ศ. 2556 - 2559),,download/article/article_20140512154143.pdf,nan,nan,แผนยุทธศาสตร์การพัฒนาบุคลากรของสำนักงานปลัดกระทรวงแรงงาน ฉบับที่ 2 (พ.ศ. 2556 - 2559)
แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558,,download/article/article_20141112145931.pdf,nan,nan,แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558
แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 ,,download/article/article_20141112151227.pdf,nan,nan,แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 
แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 ,,download/article/article_20141112151402.pdf,nan,nan,แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 
แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 ,,download/article/article_20141112151902.pdf,nan,nan,แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 
แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 ,,download/article/article_20141119103905.pdf,nan,nan,แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 
แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 ,,download/article/article_20141121160645.pdf,nan,nan,แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 
แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 (Update 27-01-58),,download/article/article_20150127155149.pdf,nan,nan,แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 (Update 27-01-58)
แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 (Update 28-01-58),,download/article/article_20150128100119.pdf,nan,nan,แผนปฏิบัติการฝึกอบรม/สัมมนา ของสานักงานปลัดกระทรวงแรงงาน ประจาปีงบประมาณ พ.ศ. 2558 (Update 28-01-58)
