TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
ทดสอบข่าวอบรม/สัมมนา,,nan,nan,nan,ทดสอบข่าวอบรม/สัมมนา
ทดสอบข่าวอบรม/สัมมนา2,,nan,nan,nan,ทดสอบข่าวอบรม/สัมมนา2
ทดสอบข่าวอบรม/สัมมนา3,,nan,nan,nan,ทดสอบข่าวอบรม/สัมมนา3
ทดสอบข่าวอบรม/สัมมนา4,,nan,nan,nan,ทดสอบข่าวอบรม/สัมมนา4
เพิ่มเติม (การฝึกอบรมเชิงปฏิบัติการ ด้านการเงิน การบัญชี และการพัสดุ ของสำนักงานปลัดกระทรวงแรงงาน),,nan,nan,nan,เพิ่มเติม (การฝึกอบรมเชิงปฏิบัติการ ด้านการเงิน การบัญชี และการพัสดุ ของสำนักงานปลัดกระทรวงแรงงาน)
ขอเชิญส่งบุคลากรเข้าฝึกอบรม,,download/pdf/News/06-03-2014_163641.pdf,nan,nan,ขอเชิญส่งบุคลากรเข้าฝึกอบรม
หลักสูตรฝึกอบรมเชิงปฏิบัติการเพื่อพัฒนาบุคลากร,,download/pdf/News/24-02-2014_092458.pdf,nan,nan,หลักสูตรฝึกอบรมเชิงปฏิบัติการเพื่อพัฒนาบุคลากร
จังหวัดทุกจังหวัด เรื่อง การฝึกอบรมเจ้าหน้าที่หรือผู้ปฏิบัติงานด้านการบัญชีภาครัฐและระบบ GF,,download/pdf/News/cchanghwadthukcchanghwad_28.pdf,nan,nan,จังหวัดทุกจังหวัด เรื่อง การฝึกอบรมเจ้าหน้าที่หรือผู้ปฏิบัติงานด้านการบัญชีภาครัฐและระบบ GF
การฝึกอบรมเชิงปฏิบัติการ ด้านการเงิน การบัญชี และการพัสดุ ของสำนักงานปลัดกระทรวงแรงงาน,,download/pdf/News/kaarengin.pdf,nan,nan,การฝึกอบรมเชิงปฏิบัติการ ด้านการเงิน การบัญชี และการพัสดุ ของสำนักงานปลัดกระทรวงแรงงาน
การอบรมหลักสูตรพัฒนาสัมพันธ์การบริหารงานส่งกำลังบำรุงและอุตสาหกรรมป้องกันประเทศ (พสอ.) รุ่นที่ 12,,download/pdf/News/kaarbrmhlaksuutr.pdf,nan,nan,การอบรมหลักสูตรพัฒนาสัมพันธ์การบริหารงานส่งกำลังบำรุงและอุตสาหกรรมป้องกันประเทศ (พสอ.) รุ่นที่ 12
