TITLE,DESCRIPTION,FILE,YOUTUBE,URL,NEW_DESC
คำสั่งกระทรวงแรงงาน ที่ ๔๕๒/๒๕๕๖ เรื่อง แต่งตั้งหัวหน้าและรองหัวหน้าผู้ตรวจราชการกระทรวงแรงงาน และผู้รักษาการในตำแหน่ง และคำสั่งกระทรวงแรงงาน ที่ ๔๕๓/๒๕๕๖ เรื่อง มอบหมายให้ผู้ตรวจราชการกระทรวงแรงงานรับผิดชอบเขตตรวจราชการ ,,download/article/article_20140107100528.pdf,nan,nan,คำสั่งกระทรวงแรงงาน ที่ ๔๕๒/๒๕๕๖ เรื่อง แต่งตั้งหัวหน้าและรองหัวหน้าผู้ตรวจราชการกระทรวงแรงงาน และผู้รักษาการในตำแหน่ง และคำสั่งกระทรวงแรงงาน ที่ ๔๕๓/๒๕๕๖ เรื่อง มอบหมายให้ผู้ตรวจราชการกระทรวงแรงงานรับผิดชอบเขตตรวจราชการ 
คำสั่งแต่งตั้งที่ปรึกษารัฐมนตรีว่าการกระทรวงแรงงาน,,download/article/article_20140107093740.pdf,nan,nan,คำสั่งแต่งตั้งที่ปรึกษารัฐมนตรีว่าการกระทรวงแรงงาน
แต่งตั้งข้าราชการให้ดำรงตำแหน่งประเภทอำนวยการระดับสูง ,,download/article/article_20140107100804.pdf,nan,nan,แต่งตั้งข้าราชการให้ดำรงตำแหน่งประเภทอำนวยการระดับสูง 
ให้ข้าราชการได้รับเงินเดือนและค่าตอบแทนรายเดือน ,,download/article/article_20140107100907.pdf,nan,nan,ให้ข้าราชการได้รับเงินเดือนและค่าตอบแทนรายเดือน 
คำสั่งแต่งตั้งผู้รักษาราชการแทนปลัดกระทรวงแรงงาน (ปรับปรุง) ,,download/article/article_20140107101427.pdf,nan,nan,คำสั่งแต่งตั้งผู้รักษาราชการแทนปลัดกระทรวงแรงงาน (ปรับปรุง) 
"ปรับปรุงคำสั่งแต่งตั้งหัวหน้ากลุ่มภารกิจ,ผู้รักษาราชการแทนหัวหน้ากลุ่มภารกิจ และคำสั่งมอบอำนาจการปฏิบัติราชการแทนปลัดกระทรวงแรงงาน ",,download/article/article_20140107101609.pdf,nan,nan,"ปรับปรุงคำสั่งแต่งตั้งหัวหน้ากลุ่มภารกิจ,ผู้รักษาราชการแทนหัวหน้ากลุ่มภารกิจ และคำสั่งมอบอำนาจการปฏิบัติราชการแทนปลัดกระทรวงแรงงาน "
คำสั่งโอนข้าราชการพลเรือนสามัญ ,,download/article/article_20140107101644.pdf,nan,nan,คำสั่งโอนข้าราชการพลเรือนสามัญ 
คำสั่งย้ายข้าราชการ ,,download/article/article_20140107101717.pdf,nan,nan,คำสั่งย้ายข้าราชการ 
คำสั่งโอนข้าราชการพลเรือนสามัญ ,,download/article/article_20140107101747.pdf,nan,nan,คำสั่งโอนข้าราชการพลเรือนสามัญ 
แต่งตั้งโฆษกกระทรวงแรงงาน (ฝ่ายข้าราชการประจำ) ,,download/article/article_20140107101822.pdf,nan,nan,แต่งตั้งโฆษกกระทรวงแรงงาน (ฝ่ายข้าราชการประจำ) 
เรียนจังหวัดทุกจังหวัด เรื่อง การจัดทำแผนการจัดกิจกรรมเนื่องในวันผู้สูงอายุแห่งชาติ ปี 2557 ,,download/article/article_20140107102012.doc,nan,nan,เรียนจังหวัดทุกจังหวัด เรื่อง การจัดทำแผนการจัดกิจกรรมเนื่องในวันผู้สูงอายุแห่งชาติ ปี 2557 
เลื่อนข้าราชการ (ระดับเชี่ยวชาญ) ,,download/article/article_20140107102049.pdf,nan,nan,เลื่อนข้าราชการ (ระดับเชี่ยวชาญ) 
การแต่งตั้ง (ย้าย) ข้าราชการ ,,download/article/article_20140107102118.pdf,nan,nan,การแต่งตั้ง (ย้าย) ข้าราชการ 
เลือนข้าราชการระดับชำนาญการ  ,,download/article/article_20140107102148.pdf,nan,nan,เลือนข้าราชการระดับชำนาญการ  
