TITLE,DESCRIPTION,FILE,YOUTUBE
รายงานผลการดำเนินงานป้องกันและปราบปรามการค้ามนุษย์ของประเทศไทย ประจำปี 2558 (TIP Report 2015),,download/article/article_20160216161814.pdf,
ผลการดำเนินงานแก้ไขปัญหาการใช้แรงงานในภาคประมงและแปรรูปสัตว์น้ำ,,download/article/article_20160216161921.pdf,
รายงานผลการดำเนินงานป้องกันและปราบปรามการค้ามนุษย์ของประเทศไทย พ.ศ.2559,,download/article/article_20170612085933.pdf,
Thailands Country Report on Anti-Human Trafficking Response (1 January  31 December 2016),,download/article/article_20170612090035.pdf,
Progress Report on the Royal Thai Governments Anti-Human Trafficking Response (1 January - 31 March 2017),,download/article/article_20170612090202.pdf,
