TITLE,DESCRIPTION,FILE,YOUTUBE
ปัญหาเรื่องการค้ามนุษย์,,,
การดำเนินงานป้องกันและแก้ไขปัญหาการค้ามนุษย์ด้านแรงงานและแรงงานผิดกฎหมาย,,download/article/article_20170104163440.pdf,
อนุสัญญาอาเซียนว่าด้วยการต่อต้านการค้ามนุษย์ โดยเฉพาะสตรีและเด็ก (ACTIP) ,,download/article/article_20170619094226.pdf,
