name,link,action_url,index
ศูนย์ข้อมูลสารสนเทศด้านแรงงานจังหวัด,http://analytic.nlic.mol.go.th/analytics/saw.dll?Dashboard,https://suphanburi2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,3
สำนักงาน ก.พ.,http://web.ocsc.go.th/forking/,https://suphanburi2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,2
ดูเรื่องร้องทุกข์ ร้องเรียน ของกระทรวงแรงงาน,http://www.mol.go.th/anonymouse/complaint,https://suphanburi2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,13
ยื่นเรื่องร้องทุกข์ ร้องเรียนผ่านทางกระทรวงแรงงาน,http://cos.mol.go.th//pt/Petition/WebPetitionPage.aspx?action=add&pmid=ML,https://suphanburi2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,12
ยื่นเรื่องร้องทุกข์ ร้องเรียนผ่านทางศูนย์ดำรงธรรมจังหวัดสุพรรณบุรี,https://www.facebook.com/%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%94%E0%B8%B3%E0%B8%A3%E0%B8%87%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-537763353098064/,https://suphanburi2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,11
ผลิตภัณฑ์โครงการแก้ปัญหาความเดือดร้อนด้านอาชีพ,http://labourproduct.mol.go.th/suphanburi,https://suphanburi2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,0
