index,new_url,old_url,img_url,name,position
45,kamphaengphet2.mol.go.th,kamphaengphet.mol.go.th,/sites/kamphaengphet.mol.go.th/files/00_0.jpg,,-
46,phetchabun2.mol.go.th,phetchabun.mol.go.th,/system/files/web_0.jpg,นายเอกพันธุ์  จิระสถิตย์,แรงงานจังหวัดเพชรบูรณ์
47,chiangrai2.mol.go.th,chiangrai.mol.go.th,/sites/chiangrai.mol.go.th/files/waang_0.jpg,-,แรงงานจังหวัดเชียงราย
48,chiangmai2.mol.go.th,chiangmai.mol.go.th,/sites/chiangmai.mol.go.th/files/srcchchm021.jpg,นายมนูญ สุขศรีจันทร์,แรงงานจังหวัดเชียงใหม่
49,tak2.mol.go.th,tak.mol.go.th,/sites/tak.mol.go.th/files/images/jpg/hawhnaa_1_3.jpg, ,-
50,nakhonsawan2.mol.go.th,nakhonsawan.mol.go.th,http://nakhonsawan.mol.go.th/sites/nakhonsawan.mol.go.th/files/img-170112111721-0001.jpg,,แรงงานจังหวัดนครสวรรค์
51,nan2.mol.go.th,nan.mol.go.th,/sites/nan.mol.go.th/files/jeeravud1_0.jpg,"นายจีรวุฒิ  กันทะมัง
แรงงานจังหวัดน่าน",-
52,phayao2.mol.go.th,phayao.mol.go.th,/sites/phayao.mol.go.th/files/img-180619112158-0001_1.jpg,  นางสุวรา  พงศ์ปัญญาเนตร,แรงงานจังหวัดพะเยา
53,phichit2.mol.go.th,phichit.mol.go.th,/sites/phichit.mol.go.th/files/355374_5.jpg,"นายสุชัย  ชาญวิกย์การ
แรงงานจังหวัดพิจิตร ",-
54,phitsanulok2.mol.go.th,phitsanulok.mol.go.th,/sites/phitsanulok.mol.go.th/files/images/15_2.png,-,-
55,phrae2.mol.go.th,phrae.mol.go.th,/sites/phrae.mol.go.th/files/attach/hn.praanii_0.jpg,นางสาวปราณี  ชลารักษ์,แรงงานจังหวัดแพร่
56,maehongson2.mol.go.th,maehongson.mol.go.th,-,-,เมนูข้อมูล
57,lampang2.mol.go.th,lampang.mol.go.th,/system/files/boss3_0.png,"
 นางจารุณี  เขมะรังษี
 แรงงานจังหวัดลำปาง",-
58,lamphun2.mol.go.th,lamphun.mol.go.th,-,                                                                                          ว่าง,แรงงานจังหวัดลำพูน
59,sukhothai2.mol.go.th,sukhothai.mol.go.th,/sites/sukhothai.mol.go.th/files/srcch.suokhthay_1.jpg,-,-
60,uttaradit2.mol.go.th,uttaradit.mol.go.th,/sites/uttaradit.mol.go.th/files/images/singphimph12.jpg,-,แรงงานจังหวัดอุตรดิตถ์
61,uthaithani2.mol.go.th,uthaithani.mol.go.th,-,-,เมนูข้อมูล
62,krabi2.mol.go.th,krabi.mol.go.th,/sites/krabi.mol.go.th/files/phancchaaekaiphthuury_new.png,,แรงงานจังหวัดกระบี่
63,chumphon2.mol.go.th,chumphon.mol.go.th,-,-,เมนูข้อมูล
64,trang2.mol.go.th,trang.mol.go.th,-,-,เมนูข้อมูล
65,nakhonsithammarat2.mol.go.th,nakhonsithammarat.mol.go.th,-,-,เมนูข้อมูล
66,narathiwat2.mol.go.th,narathiwat.mol.go.th,-,-,เมนูข้อมูล
67,pattani2.mol.go.th,pattani.mol.go.th,-,-,เมนูข้อมูล
68,phangnga2.mol.go.th,phangnga.mol.go.th,/sites/phangnga.mol.go.th/files/images/jpg/ruupaerngngaan.jpg,-,-
69,phatthalung2.mol.go.th,phatthalung.mol.go.th,/sites/phatthalung.mol.go.th/files/images/jpg/thameniiybhawhnaaaerngngaancchanghwadphathlung_copy_0.jpg,-,-
70,phuket2.mol.go.th,phuket.mol.go.th,/sites/phuket.mol.go.th/files/qr-codesamnakngaanaerngngaancchanghwadphuuekt.jpg,-,-
71,yala2.mol.go.th,yala.mol.go.th,/sites/yala.mol.go.th/files/000_0.jpg,นางสาวมาลี   ขวัญเจริญ,แรงงานจังหวัดยะลา
72,ranong2.mol.go.th,ranong.mol.go.th,/sites/ranong.mol.go.th/files/hawhnaa_0_0.jpg,สุรนารถ จิตต์เอื้อเฟื้อ,-
73,songkhla2.mol.go.th,songkhla.mol.go.th,/sites/songkhla.mol.go.th/files/images/ruupphaaph2.jpg,,แรงงานจังหวัดสงขลา
74,satun2.mol.go.th,satun.mol.go.th,/sites/satun.mol.go.th/files/ruuphawhnaa_3.png,-,-
75,suratthani2.mol.go.th,suratthani.mol.go.th,/sites/suratthani.mol.go.th/files/854777.jpg,-,แรงงานจังหวัด
