address,new_url,iframe,action_url
สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์ ศาลากลางจังหวัด ชั้น4 อำเภอเมือง จังหวัดประจวบคีรีขันธ์ 77000,prachuapkhirikhan2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7800.270244345522!2d99.80811612462242!3d12.171202653235564!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30fe84099ba2c2f1%3A0x2d627c71338a7728!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC4m-C4o-C4sOC4iOC4p-C4muC4hOC4teC4o-C4teC4guC4seC4meC4mOC5jA!5e0!3m2!1sen!2sth!4v1545020450930"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://prachuapkhirikhan2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดพระนครศรีอยุธยา ชั้น3 อาคาร 4 ชั้น อำเภอพระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา 13000,ayutthaya2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3865.613294361851!2d100.6083060648929!3d14.333880887399866!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30e275fb0b70f4f5%3A0x93d7b6bf3bb1aa14!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4Liq4Lin4Lix4Liq4LiU4Li04LiB4Liy4Lij4LmB4Lil4Liw4LiE4Li44LmJ4Lih4LiE4Lij4Lit4LiH4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lie4Lij4Liw4LiZ4LiE4Lij4Lio4Lij4Li14Lit4Lii4Li44LiY4Lii4Liy!5e0!3m2!1sen!2sth!4v1545020923811"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://ayutthaya2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดเพชรบุรี 2/105-106 ตำบลไร่ส้ม อำเภอเมือง จังหวัดเพชรบุรี 76000,phetchaburi2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7771.806914631925!2d99.92324182464621!3d13.105302162500736!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30fd270e54b63697%3A0x2db5857aa7b788f8!2z4Liq4LiZ4LiHLuC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC5gOC4nuC4iuC4o-C4muC4uOC4o-C4tQ!5e0!3m2!1sen!2sth!4v1545020988038"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phetchaburi2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดราชบุรี  75/24 หมู่ที่ 3 ถนนท้าวอู่ทอง ตำบลดอนตะโก อ.เมือง จ.ราชบุรี 70000,ratchaburi2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15516.653150859856!2d99.80661552884176!3d13.525568810560594!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30e328b4568260e1%3A0xb5b11dc7e4f49071!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lij4Liy4LiK4Lia4Li44Lij4Li1!5e0!3m2!1sen!2sth!4v1545021081346"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://ratchaburi2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดลพบุรี ศาลากลางจังหวัด (หลังเก่า) ชั้น1 ถนนนารายณ์มหาราช ตำบลทะเลชุบศร อำเภอเมือง จังหวัดลพบุรี 15000,lopburi2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30859.908163405533!2d100.63199462632417!3d14.797815681688363!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x311e00446ec89855%3A0x75fca47d43375ca7!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC4quC4p-C4seC4quC4lOC4tOC4geC4suC4o-C5geC4peC4sOC4hOC4uOC5ieC4oeC4hOC4o-C4reC4h-C5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC4peC4nuC4muC4uOC4o-C4tQ!5e0!3m2!1sen!2sth!4v1545021212542"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://lopburi2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดสมุทรปราการ 1636 หมู่4 ถนนเทพารักษ์ อำเภอเมือง จังหวัดสมุทรปราการ 10270,samutprakan2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31020.937632138768!2d100.58492927574439!3d13.620175746561257!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30e2a0622544bb7d%3A0xbc7b67d0177bf19b!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4Liq4Lin4Lix4Liq4LiU4Li04LiB4Liy4Lij4LmB4Lil4Liw4LiE4Li44LmJ4Lih4LiE4Lij4Lit4LiH4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Liq4Lih4Li44LiX4Lij4Lib4Lij4Liy4LiB4Liy4Lij!5e0!3m2!1sen!2sth!4v1545021158326"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://samutprakan2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดสมุทรสงคราม ศาลากลางจังหวัด หลังใหม่ ชั้น 5 ต.แม่กลอง อ.เมือง จ.สมุทรสงคราม 75000,samutsongkhram2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15523.45825344706!2d100.00336377882991!3d13.420709270801531!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30e2d3866c567fdf%3A0x70698758e767ed91!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC4quC4oeC4uOC4l-C4o-C4quC4h-C4hOC4o-C4suC4oQ!5e0!3m2!1sen!2sth!4v1545021308193"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://samutsongkhram2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดสมุทรสาคร ศาลากลางจังหวัด ชั้น1 ถนนเศรษฐกิจ 1 อำเภอเมือง จังหวัดสมุทรสาคร 74000,samutsakhon2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3878.807688546066!2d100.27107241488706!3d13.547385805647291!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30e2b8c9bea678a1%3A0xe669bf9b1c1d734a!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Liq4Lih4Li44LiX4Lij4Liq4Liy4LiE4Lij!5e0!3m2!1sen!2sth!4v1545021352482"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://samutsakhon2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดสระบุรี ศาลากลางจังหวัดสระบุรี ถนนพิชัยรณรงค์สงคราม ตำบลปากเพรียว อำเภอเมือง จังหวัดสระบุรี 18000,saraburi2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30897.30515704485!2d100.89701142618758!3d14.532658992764869!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xa8f2ca3e1cc7693f!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4Liq4Lin4Lix4Liq4LiU4Li04LiB4Liy4Lij4LmB4Lil4Liw4LiE4Li44LmJ4Lih4LiE4Lij4Lit4LiH4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Liq4Lij4Liw4Lia4Li44Lij4Li1!5e0!3m2!1sen!2sth!4v1545021455851"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://saraburi2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดสิงห์บุรี ศาลากลางจังหวัด ชั้น 2 (อาคาร 3 ชั้น) ตำบลบางมัญ อำเภอเมือง จังหวัดสิงห์บุรี 16000,singburi2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3855.730106218557!2d100.40910301489731!3d14.896362673753597!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30e1f0cc976f3075%3A0xb67916668e03b7c9!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LiI4Lix4LiU4Lir4Liy4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Liq4Li04LiH4Lir4LmM4Lia4Li44Lij4Li1!5e0!3m2!1sen!2sth!4v1545021809676"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://singburi2.mol.go.th/wp-admin/post.php?post=180&action=edit
