address,new_url,iframe,action_url
สำนักงานแรงงานจังหวัดพิษณุโลก ศาลากลางจังหวัดหลังใหม่ ชั้น3 ถนนวังจันทร์ อำเภอเมือง จังหวัดพิษณุโลก 65000,phitsanulok2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7638.09743767526!2d100.26233797476829!3d16.823939023325373!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30dfbd0370c90147%3A0x417e35a24587926d!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lie4Li04Lip4LiT4Li44LmC4Lil4LiB!5e0!3m2!1sen!2sth!4v1545024353231"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phitsanulok2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดแพร่ ศาลากลางจังหวัด ชั้น4 ถนนไชยบูรณ์ ตำบลในเวียง อำเภอเมือง จังหวัดแพร่ 54000,phrae2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7583.148091577629!2d100.12928292482151!3d18.137451246302746!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30d8c2670bc041df%3A0xd8f8e560623e5646!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC5geC4nuC4o-C5iA!5e0!3m2!1sen!2sth!4v1545024373194"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phrae2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดแม่ฮ่องสอน ศาลากลางจังหวัด ชั้น 1 ถนนขุนลุมประพาส อำเภอเมือง จังหวัดแม่ฮ่องสอน 58000,maehongson2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3765.867869819939!2d97.96237701494043!3d19.288111350283017!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30daa5f1aaaaaaab%3A0x92f14136e91c3f41!2sMae+Hong+Son+City+Hall!5e0!3m2!1sen!2sth!4v1545024436302"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://maehongson2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดลำปาง ศาลากลางจังหวัดชั้น 2 ถนนวชิราวุธดำเนิน ตำบลพระบาท อำเภอเมือง จังหวัดลำปาง 52000,lampang2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3788.95284186838!2d99.54206651492899!3d18.25798328191724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30d96b9c2513819f%3A0xda924f35ec3cc15f!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC4peC4s-C4m-C4suC4hw!5e0!3m2!1sen!2sth!4v1545024492879"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://lampang2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดลำพูน อาคารศูนย์ราชการกระทรวงแรงงาน ชั้น 4A หมู่10 ตำบลบ้านกลาง อำเภอเมือง จังหวัดลำพูน 51000,lamphun2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3782.1521202799245!2d99.03567751493235!3d18.567179372592967!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30dbd2c1d36b9d41%3A0x18578f8e9ba9f447!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lil4Liz4Lie4Li54LiZ!5e0!3m2!1sen!2sth!4v1545024520204"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://lamphun2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดสุโขทัย ศาลากลางจังหวัด ชั้น4 ถนนนิกรเกษม อำเภอเมือง จังหวัดสุโขทัย 64000,sukhothai2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3815.365134552843!2d99.82426441491609!3d17.005750718175342!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30de55cdaaaaaaab%3A0x232850fb41be5401!2sSukhothai+City+Hall!5e0!3m2!1sen!2sth!4v1545024582281"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://sukhothai2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดอุตรดิตถ์ ศาลากลางจังหวัด ชั้น2 ถนนประชานิมิตร อำเภอเมือง จังหวัดอุตรดิตถ์ 53000,uttaradit2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15210.555270532028!2d100.0712187294117!3d17.619877908128462!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30df30185bce1b53%3A0x8861d9f703db280d!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LiI4Lix4LiU4Lir4Liy4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lit4Li44LiV4Lij4LiU4Li04LiV4LiW4LmM!5e0!3m2!1sen!2sth!4v1545024706375"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://uttaradit2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดอุทัยธานี ศาลากลางจังหวัด (หลังเก่า) ชั้น2 ถนนศรีอุทัย ตำบลอุทัยใหม่ จังหวัดอุทัยธานี 61000,uthaithani2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7693.943328944217!2d100.02583442471568!3d15.378020851982173!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30e1af6efff4d077%3A0x76f0ca04718ea1d8!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4Liq4Lin4Lix4Liq4LiU4Li04LiB4Liy4Lij4LmB4Lil4Liw4LiE4Li44LmJ4Lih4LiE4Lij4Lit4LiH4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lit4Li44LiX4Lix4Lii4LiY4Liy4LiZ4Li1!5e0!3m2!1sen!2sth!4v1545024733362"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://uthaithani2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดกระบี่ อาคารศูนย์ราชการกระทรวงแรงงานจังหวัดกระบี่ ชั้น ๔ ถนนท่าเรือ ตำบลไสไทย อำเภอเมือง จังหวัดกระบี่ ๘๑๐๐๐,krabi2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3950.459369031173!2d98.90216921485987!3d8.054535455705572!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x305194bf3d103201%3A0x98603bb559bfea6!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4LiB4Lij4Liw4Lia4Li14LmI!5e0!3m2!1sen!2sth!4v1545024883327"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://krabi2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดชุมพร ศาลากลางจังหวัด ชั้น3 ตำบลนาชะอัง อำเภอเมือง จังหวัดชุมพร 86000,chumphon2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d323124.1915316949!2d99.10064374772354!3d10.715346764042021!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30ff552d093c7cf7%3A0xd26538ea4bfa8a2e!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4LiK4Li44Lih4Lie4Lij!5e0!3m2!1sen!2sth!4v1545025026669"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://chumphon2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดตรัง ศาลากลางจังหวัด ชั้น4 ถนนพระราม6 อำเภอเมือง จังหวัดตรัง 92000,trang2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7910.3875870822085!2d99.61305582454465!3d7.553836313963087!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304d8c3400000001%3A0x273a9d1815c34bfd!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC4leC4o-C4seC4hw!5e0!3m2!1sen!2sth!4v1545025050576"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://trang2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดนครศรีธรรมราช ศาลากลางจังหวัด ชั้น2 อำเภอเมือง จังหวัดนครศรีธรรมราช 80000,nakhonsithammarat2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7893.575048568021!2d99.96428517455415!3d8.422516338920872!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x305301141bfe4129%3A0x2d6cd6be0fb3c0e2!2sNakhon+Si+Thammarat+Provincial+Hall!5e0!3m2!1sen!2sth!4v1545025113128"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://nakhonsithammarat2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดนราธิวาส ศูนย์ราชการกระทรวงแรงงาน ชั้น4 ตำบลลำภู อำเภอเมือง จังหวัดนราธิวาส 96000,narathiwat2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3964.7274029481855!2d101.79372976485647!3d6.429055876037494!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31b3ee1ade3017db%3A0x6a89767f4d63cf6a!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4LiZ4Lij4Liy4LiY4Li04Lin4Liy4Liq!5e0!3m2!1sen!2sth!4v1545025186501"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://narathiwat2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดปัตตานี ศาลากลางจังหวัด ชั้น1 อำเภอเมือง จังหวัดปัตตานี 94000,pattani2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3961.0441628300464!2d101.24233491477263!3d6.885313695024622!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31b303e4db81b975%3A0x87847a68ac8c34ff!2sPattani+Provincial+Employment+Office!5e0!3m2!1sen!2sth!4v1545025324403"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://pattani2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดพังงา 9/5-6 ถนนเทศบาลบำรุง อำเภอเมือง จังหวัดพังงา 82000,phangnga2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7893.08879048234!2d98.52740302455446!3d8.446319988200624!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3051010eaa7a5a07%3A0xeb25de4217cde7a3!2sPhang-Nga+Labour+Office!5e0!3m2!1sen!2sth!4v1545025352116"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phangnga2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดพัทลุง ศาลากลางจังหวัด ชั้น3 ตำบลคูหาสวรรค์ อำเภอเมือง จังหวัดพัทลุง 93000,phatthalung2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15818.450093453906!2d100.06405837634098!3d7.617071391667198!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304d7c9803bbff23%3A0x1e041cb1a3b0e886!2sPhatthalung+Provincial+Labour+Protection+and+Welfare+Office!5e0!3m2!1sen!2sth!4v1545025409688"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phatthalung2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดภูเก็ต ศาลากลางจังหวัด อำเภอเมือง จังหวัดภูเก็ต 83000,phuket2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15808.503029542246!2d98.38342362840032!3d7.881908764202251!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3050321dcefeb8b5%3A0x891bdf720d6b61ff!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lig4Li54LmA4LiB4LmH4LiV!5e0!3m2!1sen!2sth!4v1545025433817"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phuket2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดยะลา อาคารศูนย์ราชการ กระทรวงแรงงาน ชั้น4 ถนนสุขยางค์ อำเภอเมือง จังหวัดยะลา 95000,yala2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3963.9560998313873!2d101.27974826485658!3d6.527228974930655!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31b37740ea8ac147%3A0xcd9790d9ddb1fec4!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lii4Liw4Lil4Liy!5e0!3m2!1sen!2sth!4v1545025457740"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://yala2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดระนอง ศาลากลางจังหวัดระนอง ชั้น 3 หมู่ 3 ตำบลบางริ้น อำเภอเมือง จังหวัดระนอง 85000,ranong2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d250693.10812322705!2d99.16998305508599!3d10.957343531778276!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30564fedd66d9501%3A0x8afea4fe8b2c76ff!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC4o-C4sOC4meC4reC4hw!5e0!3m2!1sen!2sth!4v1545025477383"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://ranong2.mol.go.th/wp-admin/post.php?post=180&action=edit
