URL,Drupal Run Importer,Change Post Type,,,,,,,,,,,Made by,Note,Click,,,,,,,,
,,ข่าวประชาสัมพันธ์ (9),ข่าวกิจกรรม (148),ประกาศ ? (140),สถานการณ์แรงงานจังหวัด (ข้อมูล/สถาณการณ์แรงงานจังหวัด),สถิติแรงงานจังหวัด,Link ที่น่าสนใจ (ภายนอก),Web Link (ภายใน),Map (search gg iframe),Address (footer),สถาณการณ์แรงงานไทย (เพิ่มรูปเฉยๆ),ข้อมูลภาพรวมจังหวัด (เพิ่มรูป + ลิ้งไปหน้า),,,,,,,,,,,
ubonratchathani2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Ae,ไม่มี type ข่าวกิจกรรม,,,,,,,,,
kamphaengphet2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,,,,,,,,,,
phetchabun2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type ข่าวกิจกรรม,,,,,,,,,
chiangrai2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,,,,,,,,,,
chiangmai2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,,,,,,,,,,
tak2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type ข่าวกิจกรรม,,,,,,,,,
nakhonsawan2.mol.go.th,Done,Out Of Memory,Out Of Memory,,,,,,,,,,,ไม่มี type ข่าวกิจกรรม,,,,,,,,,
nan2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type ข่าวกิจกรรม,,,,,,,,,
phayao2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type ข่าวกิจกรรม,,,,,,,,,
phichit2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,,,,,,,,,,
phitsanulok2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type ข่าวกิจกรรม,,,,,,,,,
phrae2.mol.go.th,Done,,Done,,,,,,,,,,Pla,ไม่มีข่าวประชาสัมพันธ์,,,,,,,,,
maehongson2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,มี type ข่าวกิจกรรม ไม่ครบไม่มีข่าวประชาสัมพันธ์,,,,,,,,,
lampang2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,มี type ข่าวกิจกรรม ไม่ครบ,,,,,,,,,
lamphun2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,,,,,,,,,,
sukhothai2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,,,,,,,,,,
uttaradit2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,,,,,,,,,,
uthaithani2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,,,,,,,,,,
krabi2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type กิจกรรม,,,,,,,,,
chumphon2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,คลิกประชาสัมพันธ์+กิจกรรมไม่ได้,,,,,,,,,
trang2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type กิจกรรม,,,,,,,,,
nakhonsithammarat2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,คลิกประชาสัมพันธ์+กิจกรรมไม่ได้,,,,,,,,,
narathiwat2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type กิจกรรม คลิกประสัมพันธ์ไม่ได้,,,,,,,,,
pattani2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type กิจกรรม คลิกประชาสัมพันธ์ไม่ได้,,,,,,,,,
phangnga2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type กิจกรรม คลิกประชาสัมพันธ์ไม่ได้,,,,,,,,,
phatthalung2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type กิจกรรม คลิกประชาสััมพันธ์ไม่ได้,,,,,,,,,
phuket2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type กิจกรรม คลิกประชาสัมพันธ์ไม่ได้,,,,,,,,,
yala2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,ไม่มี type กิจกรรม คลิกประชาสัมพันธ์ไม่ได้,,,,,,,,,
ranong2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,คลิกประชาสัมพันธ์+กิจกรรมไม่ได้,,,,,,,,,
songkhla2.mol.go.th,Done,Done,Out Of Memory,,,,,,,,,,Pla,มี type กิจกรรมไม่ครบ คลิกประชาสัมพันธ์ไม่ได้,,,,,,,,,
satun2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,คลิกประชาสัมพันธ์+กิจกรรมไม่ได้,,,,,,,,,
suratthani2.mol.go.th,Done,Done,Done,,,,,,,,,,Pla,มี type กิจกรรมไม่ครบ คลิกประชาสัมพันธ์ไม่ได้+กิจกรรม,,,,,,,,,
